from_func,from_addr,to_addr,to_func,ref_type
FUN_CODE_0043,CODE:0045,CODE:40ab,FUN_CODE_40ab,UNCONDITIONAL_CALL
FUN_CODE_0043,CODE:004c,CODE:38bc,FUN_CODE_38bc,UNCONDITIONAL_CALL
FUN_CODE_0043,CODE:004f,CODE:05fe,FUN_CODE_05fe,UNCONDITIONAL_CALL
FUN_CODE_0043,CODE:0054,CODE:1f64,FUN_CODE_1f64,UNCONDITIONAL_CALL
FUN_CODE_0057,CODE:005e,CODE:1bf0,FUN_CODE_1bf0,UNCONDITIONAL_CALL
FUN_CODE_0057,CODE:0061,CODE:1f64,FUN_CODE_1f64,UNCONDITIONAL_CALL
FUN_CODE_0074,CODE:0077,CODE:38c6,FUN_CODE_38c6,UNCONDITIONAL_CALL
FUN_CODE_0074,CODE:0080,CODE:38cb,FUN_CODE_38cb,UNCONDITIONAL_CALL
FUN_CODE_0091,CODE:00a1,CODE:38d0,FUN_CODE_38d0,UNCONDITIONAL_CALL
FUN_CODE_0091,CODE:00b3,CODE:4682,FUN_CODE_4682,UNCONDITIONAL_CALL
FUN_CODE_0091,CODE:00bd,CODE:38d5,FUN_CODE_38d5,UNCONDITIONAL_CALL
FUN_CODE_0091,CODE:00c0,CODE:0124,FUN_CODE_0124,UNCONDITIONAL_CALL
FUN_CODE_00c2,CODE:00c4,CODE:38c6,FUN_CODE_38c6,UNCONDITIONAL_CALL
FUN_CODE_00c2,CODE:00cd,CODE:38cb,FUN_CODE_38cb,UNCONDITIONAL_CALL
FUN_CODE_0124,CODE:0133,CODE:1f97,FUN_CODE_1f97,UNCONDITIONAL_CALL
FUN_CODE_0124,CODE:0138,CODE:38c6,FUN_CODE_38c6,UNCONDITIONAL_CALL
FUN_CODE_0124,CODE:0141,CODE:38cb,FUN_CODE_38cb,UNCONDITIONAL_CALL
FUN_CODE_0171,CODE:0174,CODE:05c0,FUN_CODE_05c0,UNCONDITIONAL_CALL
FUN_CODE_0196,CODE:019e,CODE:1bf0,FUN_CODE_1bf0,UNCONDITIONAL_CALL
FUN_CODE_01a1,CODE:01a6,CODE:4456,FUN_CODE_4456,UNCONDITIONAL_CALL
FUN_CODE_0239,CODE:0250,CODE:43e8,FUN_CODE_43e8,UNCONDITIONAL_CALL
thunk_FUN_CODE_1f64,CODE:0257,CODE:1f64,FUN_CODE_1f64,UNCONDITIONAL_CALL
FUN_CODE_0374,CODE:0377,CODE:1f64,FUN_CODE_1f64,UNCONDITIONAL_CALL
FUN_CODE_03b8,CODE:03b8,CODE:38ee,FUN_CODE_38ee,UNCONDITIONAL_CALL
FUN_CODE_03b8,CODE:03be,CODE:0171,FUN_CODE_0171,UNCONDITIONAL_CALL
FUN_CODE_03c1,CODE:03c1,CODE:38f8,FUN_CODE_38f8,UNCONDITIONAL_CALL
FUN_CODE_03c1,CODE:03d9,CODE:38fd,FUN_CODE_38fd,UNCONDITIONAL_CALL
FUN_CODE_03c1,CODE:03e5,CODE:0171,FUN_CODE_0171,UNCONDITIONAL_CALL
FUN_CODE_03f6,CODE:03f9,CODE:0597,FUN_CODE_0597,UNCONDITIONAL_CALL
FUN_CODE_0406,CODE:0408,CODE:0597,FUN_CODE_0597,UNCONDITIONAL_CALL
thunk_FUN_CODE_1f64,CODE:040b,CODE:1f64,FUN_CODE_1f64,UNCONDITIONAL_CALL
FUN_CODE_0597,CODE:059f,CODE:38c6,FUN_CODE_38c6,UNCONDITIONAL_CALL
FUN_CODE_0597,CODE:05a8,CODE:38cb,FUN_CODE_38cb,UNCONDITIONAL_CALL
FUN_CODE_05bb,CODE:05bd,CODE:0171,FUN_CODE_0171,UNCONDITIONAL_CALL
FUN_CODE_05c0,CODE:05c0,CODE:1bf0,FUN_CODE_1bf0,UNCONDITIONAL_CALL
FUN_CODE_05c0,CODE:05cb,CODE:151d,FUN_CODE_151d,UNCONDITIONAL_CALL
FUN_CODE_05c0,CODE:05e8,CODE:1f97,FUN_CODE_1f97,UNCONDITIONAL_CALL
FUN_CODE_05c0,CODE:05eb,CODE:1f64,FUN_CODE_1f64,UNCONDITIONAL_CALL
FUN_CODE_05fe,CODE:062c,CODE:151d,FUN_CODE_151d,UNCONDITIONAL_CALL
FUN_CODE_05fe,CODE:0632,CODE:4456,FUN_CODE_4456,UNCONDITIONAL_CALL
FUN_CODE_151d,CODE:1554,CODE:159c,FUN_CODE_159c,UNCONDITIONAL_CALL
FUN_CODE_1574,CODE:1583,CODE:1594,FUN_CODE_1594,UNCONDITIONAL_CALL
FUN_CODE_159e,CODE:15c6,CODE:15cf,FUN_CODE_15cf,UNCONDITIONAL_CALL
FUN_CODE_15cf,CODE:15f7,CODE:159e,FUN_CODE_159e,UNCONDITIONAL_CALL
FUN_CODE_1bf0,CODE:1c57,CODE:3939,FUN_CODE_3939,UNCONDITIONAL_CALL
FUN_CODE_1bf0,CODE:1c60,CODE:151d,FUN_CODE_151d,UNCONDITIONAL_CALL
FUN_CODE_1bf0,CODE:1c66,CODE:4456,FUN_CODE_4456,UNCONDITIONAL_CALL
FUN_CODE_1c70,CODE:1c87,CODE:43e8,FUN_CODE_43e8,UNCONDITIONAL_CALL
FUN_CODE_1c70,CODE:1c8c,CODE:1f64,FUN_CODE_1f64,UNCONDITIONAL_CALL
FUN_CODE_1f97,CODE:1fa2,CODE:4456,FUN_CODE_4456,UNCONDITIONAL_CALL
FUN_CODE_1fa9,CODE:1fc6,CODE:43e8,FUN_CODE_43e8,UNCONDITIONAL_CALL
FUN_CODE_1fa9,CODE:1fcb,CODE:1f64,FUN_CODE_1f64,UNCONDITIONAL_CALL
FUN_CODE_24dd,CODE:24ed,CODE:25db,FUN_CODE_25db,UNCONDITIONAL_CALL
FUN_CODE_24f0,CODE:2518,CODE:444a,FUN_CODE_444a,UNCONDITIONAL_CALL
FUN_CODE_24f0,CODE:2539,CODE:444a,FUN_CODE_444a,UNCONDITIONAL_CALL
FUN_CODE_254a,CODE:2561,CODE:43e8,FUN_CODE_43e8,UNCONDITIONAL_CALL
FUN_CODE_254a,CODE:2569,CODE:4456,FUN_CODE_4456,UNCONDITIONAL_CALL
FUN_CODE_2570,CODE:2587,CODE:43e8,FUN_CODE_43e8,UNCONDITIONAL_CALL
FUN_CODE_2570,CODE:258f,CODE:4456,FUN_CODE_4456,UNCONDITIONAL_CALL
FUN_CODE_2596,CODE:25a8,CODE:43e8,FUN_CODE_43e8,UNCONDITIONAL_CALL
FUN_CODE_25c2,CODE:25c9,CODE:260e,FUN_CODE_260e,UNCONDITIONAL_CALL
FUN_CODE_25f8,CODE:2607,CODE:4456,FUN_CODE_4456,UNCONDITIONAL_CALL
FUN_CODE_2619,CODE:2632,CODE:26d5,FUN_CODE_26d5,UNCONDITIONAL_CALL
FUN_CODE_2635,CODE:2640,CODE:26d1,FUN_CODE_26d1,UNCONDITIONAL_CALL
FUN_CODE_2643,CODE:264e,CODE:26d5,FUN_CODE_26d5,UNCONDITIONAL_CALL
FUN_CODE_2665,CODE:2693,CODE:26d5,FUN_CODE_26d5,UNCONDITIONAL_CALL
FUN_CODE_26a9,CODE:26cf,CODE:26d5,FUN_CODE_26d5,UNCONDITIONAL_CALL
FUN_CODE_26de,CODE:26ee,CODE:27fa,FUN_CODE_27fa,UNCONDITIONAL_CALL
FUN_CODE_26f1,CODE:26f9,CODE:27f5,FUN_CODE_27f5,UNCONDITIONAL_CALL
FUN_CODE_26fc,CODE:2704,CODE:27f5,FUN_CODE_27f5,UNCONDITIONAL_CALL
FUN_CODE_2707,CODE:270a,CODE:27e0,FUN_CODE_27e0,UNCONDITIONAL_CALL
FUN_CODE_270d,CODE:2710,CODE:27e0,FUN_CODE_27e0,UNCONDITIONAL_CALL
FUN_CODE_2713,CODE:271a,CODE:420f,FUN_CODE_420f,UNCONDITIONAL_CALL
FUN_CODE_2735,CODE:2740,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_2735,CODE:274c,CODE:410f,FUN_CODE_410f,UNCONDITIONAL_CALL
FUN_CODE_2735,CODE:275b,CODE:413c,FUN_CODE_413c,UNCONDITIONAL_CALL
FUN_CODE_2735,CODE:276d,CODE:414e,FUN_CODE_414e,UNCONDITIONAL_CALL
FUN_CODE_2735,CODE:2770,CODE:27a5,FUN_CODE_27a5,UNCONDITIONAL_CALL
FUN_CODE_2772,CODE:2786,CODE:410f,FUN_CODE_410f,UNCONDITIONAL_CALL
FUN_CODE_2772,CODE:278e,CODE:413c,FUN_CODE_413c,UNCONDITIONAL_CALL
FUN_CODE_2772,CODE:27a0,CODE:414e,FUN_CODE_414e,UNCONDITIONAL_CALL
FUN_CODE_27a5,CODE:27b0,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_27a5,CODE:27bb,CODE:27f5,FUN_CODE_27f5,UNCONDITIONAL_CALL
FUN_CODE_27c8,CODE:27cc,CODE:27f5,FUN_CODE_27f5,UNCONDITIONAL_CALL
FUN_CODE_27ce,CODE:27de,CODE:27f5,FUN_CODE_27f5,UNCONDITIONAL_CALL
FUN_CODE_27f5,CODE:27f7,CODE:29ff,FUN_CODE_29ff,UNCONDITIONAL_CALL
FUN_CODE_27fa,CODE:27fd,CODE:29ff,FUN_CODE_29ff,UNCONDITIONAL_CALL
FUN_CODE_2800,CODE:2823,CODE:50ce,FUN_CODE_50ce,UNCONDITIONAL_CALL
FUN_CODE_285d,CODE:286f,CODE:2905,FUN_CODE_2905,UNCONDITIONAL_CALL
FUN_CODE_2872,CODE:2884,CODE:2905,FUN_CODE_2905,UNCONDITIONAL_CALL
FUN_CODE_2895,CODE:289c,CODE:2905,FUN_CODE_2905,UNCONDITIONAL_CALL
FUN_CODE_28ad,CODE:28bf,CODE:413c,FUN_CODE_413c,UNCONDITIONAL_CALL
FUN_CODE_28ad,CODE:28c9,CODE:420f,FUN_CODE_420f,UNCONDITIONAL_CALL
FUN_CODE_28ad,CODE:28ce,CODE:2905,FUN_CODE_2905,UNCONDITIONAL_CALL
FUN_CODE_28d0,CODE:28d9,CODE:2905,FUN_CODE_2905,UNCONDITIONAL_CALL
FUN_CODE_28db,CODE:28e3,CODE:2905,FUN_CODE_2905,UNCONDITIONAL_CALL
FUN_CODE_28e5,CODE:28f6,CODE:413c,FUN_CODE_413c,UNCONDITIONAL_CALL
FUN_CODE_28e5,CODE:2900,CODE:420f,FUN_CODE_420f,UNCONDITIONAL_CALL
FUN_CODE_292a,CODE:2990,CODE:29fd,FUN_CODE_29fd,UNCONDITIONAL_CALL
FUN_CODE_2992,CODE:299b,CODE:29fd,FUN_CODE_29fd,UNCONDITIONAL_CALL
FUN_CODE_299d,CODE:29f2,CODE:29fd,FUN_CODE_29fd,UNCONDITIONAL_CALL
FUN_CODE_2a0a,CODE:2a38,CODE:4456,FUN_CODE_4456,UNCONDITIONAL_CALL
FUN_CODE_2c27,CODE:2c3e,CODE:43e8,FUN_CODE_43e8,UNCONDITIONAL_CALL
FUN_CODE_2c27,CODE:2c45,CODE:2a0a,FUN_CODE_2a0a,UNCONDITIONAL_CALL
FUN_CODE_2c27,CODE:2c6e,CODE:4456,FUN_CODE_4456,UNCONDITIONAL_CALL
FUN_CODE_2cb7,CODE:2cc4,CODE:2a0a,FUN_CODE_2a0a,UNCONDITIONAL_CALL
FUN_CODE_2cb7,CODE:2cd4,CODE:2a0a,FUN_CODE_2a0a,UNCONDITIONAL_CALL
FUN_CODE_37fc,CODE:3802,CODE:3840,FUN_CODE_3840,UNCONDITIONAL_CALL
FUN_CODE_380c,CODE:3812,CODE:3815,FUN_CODE_3815,UNCONDITIONAL_CALL
FUN_CODE_3815,CODE:3818,CODE:3843,FUN_CODE_3843,UNCONDITIONAL_CALL
FUN_CODE_381a,CODE:3830,CODE:3833,FUN_CODE_3833,UNCONDITIONAL_CALL
FUN_CODE_3833,CODE:3836,CODE:3843,FUN_CODE_3843,UNCONDITIONAL_CALL
FUN_CODE_386a,CODE:3883,CODE:3843,FUN_CODE_3843,UNCONDITIONAL_CALL
FUN_CODE_388e,CODE:389a,CODE:3a00,FUN_CODE_3a00,UNCONDITIONAL_CALL
FUN_CODE_38a6,CODE:38b2,CODE:3a08,FUN_CODE_3a08,UNCONDITIONAL_CALL
FUN_CODE_38bc,CODE:38bf,CODE:389d,FUN_CODE_389d,UNCONDITIONAL_CALL
FUN_CODE_38c6,CODE:38c9,CODE:389d,FUN_CODE_389d,UNCONDITIONAL_CALL
FUN_CODE_38cb,CODE:38ce,CODE:389d,FUN_CODE_389d,UNCONDITIONAL_CALL
FUN_CODE_38d0,CODE:38d3,CODE:389d,FUN_CODE_389d,UNCONDITIONAL_CALL
FUN_CODE_38d5,CODE:38d8,CODE:389d,FUN_CODE_389d,UNCONDITIONAL_CALL
FUN_CODE_38ee,CODE:38f1,CODE:389d,FUN_CODE_389d,UNCONDITIONAL_CALL
FUN_CODE_38f8,CODE:38fb,CODE:389d,FUN_CODE_389d,UNCONDITIONAL_CALL
FUN_CODE_38fd,CODE:3900,CODE:389d,FUN_CODE_389d,UNCONDITIONAL_CALL
FUN_CODE_3939,CODE:393c,CODE:3885,FUN_CODE_3885,UNCONDITIONAL_CALL
FUN_CODE_4456,CODE:445f,CODE:446d,FUN_CODE_446d,UNCONDITIONAL_CALL
FUN_CODE_4456,CODE:4462,CODE:446d,FUN_CODE_446d,UNCONDITIONAL_CALL
FUN_CODE_4456,CODE:4465,CODE:446d,FUN_CODE_446d,UNCONDITIONAL_CALL
FUN_CODE_4456,CODE:4468,CODE:446d,FUN_CODE_446d,UNCONDITIONAL_CALL
FUN_CODE_510e,CODE:5118,CODE:4225,FUN_CODE_4225,UNCONDITIONAL_CALL
FUN_CODE_510e,CODE:511e,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_510e,CODE:512a,CODE:420f,FUN_CODE_420f,UNCONDITIONAL_CALL
FUN_CODE_512d,CODE:5137,CODE:4225,FUN_CODE_4225,UNCONDITIONAL_CALL
FUN_CODE_512d,CODE:513d,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_512d,CODE:514b,CODE:4225,FUN_CODE_4225,UNCONDITIONAL_CALL
FUN_CODE_512d,CODE:5152,CODE:413c,FUN_CODE_413c,UNCONDITIONAL_CALL
FUN_CODE_5163,CODE:5186,CODE:521d,FUN_CODE_521d,UNCONDITIONAL_CALL
FUN_CODE_5189,CODE:519f,CODE:410f,FUN_CODE_410f,UNCONDITIONAL_CALL
FUN_CODE_51b4,CODE:51bf,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_51b4,CODE:51cd,CODE:4225,FUN_CODE_4225,UNCONDITIONAL_CALL
FUN_CODE_51b4,CODE:51d3,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_51b4,CODE:51e9,CODE:4225,FUN_CODE_4225,UNCONDITIONAL_CALL
FUN_CODE_51b4,CODE:51f2,CODE:414e,FUN_CODE_414e,UNCONDITIONAL_CALL
FUN_CODE_51b4,CODE:51fc,CODE:420f,FUN_CODE_420f,UNCONDITIONAL_CALL
FUN_CODE_5203,CODE:521a,CODE:414e,FUN_CODE_414e,UNCONDITIONAL_CALL
FUN_CODE_52a2,CODE:52a9,CODE:4225,FUN_CODE_4225,UNCONDITIONAL_CALL
FUN_CODE_52a2,CODE:52bb,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_52a2,CODE:52d1,CODE:4225,FUN_CODE_4225,UNCONDITIONAL_CALL
FUN_CODE_52a2,CODE:52da,CODE:414e,FUN_CODE_414e,UNCONDITIONAL_CALL
FUN_CODE_52a2,CODE:52e7,CODE:420f,FUN_CODE_420f,UNCONDITIONAL_CALL
FUN_CODE_52fb,CODE:52fb,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_5305,CODE:530a,CODE:52fb,FUN_CODE_52fb,UNCONDITIONAL_CALL
FUN_CODE_58c2,CODE:58c3,CODE:5906,FUN_CODE_5906,UNCONDITIONAL_CALL
FUN_CODE_591a,CODE:5920,CODE:52f8,FUN_CODE_52f8,UNCONDITIONAL_CALL
FUN_CODE_591a,CODE:592e,CODE:5a64,FUN_CODE_5a64,UNCONDITIONAL_CALL
FUN_CODE_5962,CODE:5964,CODE:5a64,FUN_CODE_5a64,UNCONDITIONAL_CALL
FUN_CODE_5967,CODE:5995,CODE:5290,FUN_CODE_5290,UNCONDITIONAL_CALL
FUN_CODE_5967,CODE:5998,CODE:5a64,FUN_CODE_5a64,UNCONDITIONAL_CALL
FUN_CODE_59ad,CODE:59b3,CODE:5a35,FUN_CODE_5a35,UNCONDITIONAL_CALL
FUN_CODE_59b6,CODE:59bb,CODE:5a35,FUN_CODE_5a35,UNCONDITIONAL_CALL
FUN_CODE_59be,CODE:59d4,CODE:476b,FUN_CODE_476b,UNCONDITIONAL_CALL
FUN_CODE_59be,CODE:59f0,CODE:5163,FUN_CODE_5163,UNCONDITIONAL_CALL
FUN_CODE_59be,CODE:59fb,CODE:5a64,FUN_CODE_5a64,UNCONDITIONAL_CALL
FUN_CODE_5a0d,CODE:5a28,CODE:5163,FUN_CODE_5163,UNCONDITIONAL_CALL
FUN_CODE_5a0d,CODE:5a33,CODE:5a64,FUN_CODE_5a64,UNCONDITIONAL_CALL
FUN_CODE_5a48,CODE:5a61,CODE:5163,FUN_CODE_5163,UNCONDITIONAL_CALL
FUN_CODE_5a64,CODE:5a6a,CODE:52f8,FUN_CODE_52f8,UNCONDITIONAL_CALL
FUN_CODE_5a64,CODE:5a7e,CODE:476b,FUN_CODE_476b,UNCONDITIONAL_CALL
FUN_CODE_5a8b,CODE:5aa5,CODE:50f8,FUN_CODE_50f8,UNCONDITIONAL_CALL
FUN_CODE_5ab0,CODE:5ab5,CODE:efdf,FUN_CODE_efdf,UNCONDITIONAL_CALL
FUN_CODE_5ab0,CODE:5abe,CODE:ef5c,FUN_CODE_ef5c,UNCONDITIONAL_CALL
FUN_CODE_5ab0,CODE:5ac3,CODE:efdf,FUN_CODE_efdf,UNCONDITIONAL_CALL
FUN_CODE_5ab0,CODE:5acc,CODE:ef5c,FUN_CODE_ef5c,UNCONDITIONAL_CALL
FUN_CODE_5acf,CODE:5ad1,CODE:efdf,FUN_CODE_efdf,UNCONDITIONAL_CALL
FUN_CODE_5acf,CODE:5ada,CODE:ef5c,FUN_CODE_ef5c,UNCONDITIONAL_CALL
FUN_CODE_ef5c,CODE:ef67,CODE:effe,FUN_CODE_effe,UNCONDITIONAL_CALL
FUN_CODE_ef5c,CODE:ef70,CODE:f011,FUN_CODE_f011,UNCONDITIONAL_CALL
FUN_CODE_ef5c,CODE:ef79,CODE:f011,FUN_CODE_f011,UNCONDITIONAL_CALL
FUN_CODE_ef5c,CODE:ef82,CODE:f011,FUN_CODE_f011,UNCONDITIONAL_CALL
FUN_CODE_ef5c,CODE:ef9e,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_efa4,CODE:efb4,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_efa4,CODE:efbb,CODE:f011,FUN_CODE_f011,UNCONDITIONAL_CALL
FUN_CODE_efa4,CODE:efc5,CODE:420f,FUN_CODE_420f,UNCONDITIONAL_CALL
FUN_CODE_efa4,CODE:efd3,CODE:40f6,FUN_CODE_40f6,UNCONDITIONAL_CALL
FUN_CODE_efdb,CODE:efdb,CODE:effe,FUN_CODE_effe,UNCONDITIONAL_CALL
FUN_CODE_efdf,CODE:efe4,CODE:effe,FUN_CODE_effe,UNCONDITIONAL_CALL
FUN_CODE_efdf,CODE:efed,CODE:f011,FUN_CODE_f011,UNCONDITIONAL_CALL
FUN_CODE_efdf,CODE:effa,CODE:f011,FUN_CODE_f011,UNCONDITIONAL_CALL
FUN_CODE_effe,CODE:f00d,CODE:f062,FUN_CODE_f062,UNCONDITIONAL_CALL
FUN_CODE_f011,CODE:f02a,CODE:f062,FUN_CODE_f062,UNCONDITIONAL_CALL
