address	set_dptr	reads	writes	total
0x0001	2	0	0	2
0x0080	1	0	0	1
0x046E	2	0	0	2
0x1F80	1	0	1	2
0x3A00	1	0	0	1
0x3F24	1	0	0	1
0x3F26	0	0	1	1
0x3F27	0	0	1	1
0x3F28	0	1	0	1
0x3F29	0	1	0	1
0x3F2B	0	0	1	1
0x3F2D	0	1	0	1
0x3F2E	0	0	1	1
0x3F80	18	0	18	36
0x402B	1	2	2	5
0x402C	0	2	2	4
0x402D	0	3	2	5
0x402E	0	1	1	2
0x402F	0	1	1	2
0x4030	0	1	0	1
0x4031	0	1	0	1
0x4032	0	1	0	1
0x4035	0	1	0	1
0x4036	0	1	0	1
0x4037	0	1	0	1
0x4038	0	1	0	1
0x403B	0	0	1	1
0x403C	0	0	1	1
0x403D	0	0	1	1
0x403E	0	0	1	1
0x403F	0	0	1	1
0x4040	0	1	0	1
0x4042	0	2	3	5
0x4043	0	0	1	1
0x4044	0	0	1	1
0x404F	0	1	0	1
0x4051	0	1	0	1
0x4056	0	1	0	1
0x4057	0	1	0	1
0x405A	0	1	0	1
0x405B	0	1	0	1
0x405C	0	1	0	1
0x405D	0	1	0	1
0x4573	1	0	1	2
0x4574	0	0	1	1
0x4575	0	1	0	1
0x4576	0	1	0	1
0x4578	0	0	1	1
0x457A	0	1	0	1
0x457B	0	0	1	1
0x46EF	1	1	0	2
0x4BC3	1	0	0	1
0x4EC7	1	0	1	2
0x4F61	1	0	0	1
0x5401	1	0	0	1
0x5528	1	0	0	1
0x5AE9	1	0	0	1
0x5F00	59	0	59	118
0x5F80	7	7	0	14
0x60BB	1	0	0	1
0x6A1D	1	0	0	1
0x6E8E	1	0	0	1
0x6F00	6	0	6	12
0x6F01	6	0	6	12
0x6F02	31	16	15	62
0x6F03	2	0	2	4
0x7101	1	0	0	1
0x7318	1	0	0	1
0x7700	3	3	0	6
0x7701	3	3	0	6
0x7702	29	7	22	58
0x7703	2	0	2	4
0x7B00	45	0	45	90
0x7B01	28	0	28	56
0x7B02	28	0	28	56
0x7B03	2	0	2	4
0x7D00	24	0	24	48
0x7D01	40	0	40	80
0x7D02	39	0	39	78
0x7D03	2	0	2	4
0x7D2B	1	0	0	1
0x7E00	64	0	66	130
0x7E01	29	0	30	59
0x7E02	48	0	48	96
0x7E03	2	0	2	4
0x7F00	1	0	1	2
0x7F80	7	7	0	14
0x7FE4	1	0	0	1
0x8000	7	4	3	14
0x8001	0	4	3	7
0x8002	1	1	0	2
0x8003	0	1	0	1
0x8004	0	1	0	1
0x8005	0	1	0	1
0x8006	6	2	4	12
0x8007	0	2	4	6
0x8033	7	3	4	14
0x8034	0	3	4	7
0x8035	51	40	50	141
0x8036	33	17	16	66
0x8037	2	17	16	35
0x8038	37	34	0	71
0x8039	0	34	0	34
0x803A	0	34	0	34
0x803B	0	34	0	34
0x803C	6	3	0	9
0x803D	0	3	0	3
0x803E	0	3	0	3
0x803F	0	3	0	3
0x8040	6	3	0	9
0x8041	0	3	0	3
0x8042	0	3	0	3
0x8043	0	3	0	3
0x8044	3	2	0	5
0x8045	0	2	0	2
0x8046	0	2	0	2
0x8047	0	2	0	2
0x8048	106	103	0	209
0x8049	0	103	0	103
0x804A	0	103	0	103
0x804B	0	103	0	103
0x804C	50	41	47	138
0x804D	32	20	32	84
0x804E	66	10	70	146
0x804F	53	41	49	143
0x8050	32	20	34	86
0x8051	15	12	3	30
0x8052	0	12	3	15
0x8053	2	0	2	4
0x8054	38	34	41	113
0x8055	1	1	0	2
0x8056	0	1	0	1
0x8057	0	1	0	1
0x8058	0	1	0	1
0x8059	17	14	3	34
0x805A	0	14	3	17
0x805B	6	0	6	12
0x805C	51	47	52	150
0x805D	15	12	3	30
0x805E	0	12	3	15
0x805F	61	27	62	150
0x8060	6	0	6	12
0x8061	22	18	25	65
0x8067	15	13	15	43
0x8069	18	15	18	51
0x806A	3	2	2	7
0x806B	1	2	2	5
0x8081	1	1	0	2
0x8082	0	1	0	1
0x8083	0	1	0	1
0x8084	0	1	0	1
0x8085	8	2	6	16
0x8086	0	2	6	8
0x8087	4	2	6	12
0x8088	0	2	6	8
0x8089	6	4	0	10
0x808A	0	4	0	4
0x808B	0	4	0	4
0x808C	0	4	0	4
0x80B3	1	1	0	2
0x80B4	0	1	0	1
0x80B5	0	1	0	1
0x80B6	0	1	0	1
0x80B7	7	3	4	14
0x80B8	0	3	4	7
0x80B9	8	2	6	16
0x80BA	0	2	6	8
0x80BB	4	2	6	12
0x80BC	0	2	6	8
0x80BD	1	1	0	2
0x80BE	0	1	0	1
0x80BF	0	1	0	1
0x80C0	0	1	0	1
0x80C5	2	0	0	2
0x80C9	10	10	0	20
0x80CA	0	10	0	10
0x80CB	0	10	0	10
0x80CC	0	10	0	10
0x80CD	2	0	0	2
0x80D1	2	0	0	2
0x80DA	1	0	1	2
0x80E3	2	0	0	2
0x80E7	2	0	0	2
0x80EB	2	0	0	2
0x80EF	2	0	0	2
0x80F3	25	17	0	42
0x80F4	0	17	0	17
0x80F5	0	17	0	17
0x80F6	0	17	0	17
0x80F7	12	5	8	25
0x80F8	1	5	8	14
0x8105	12	9	3	24
0x8106	2	9	3	14
0x8107	0	9	3	12
0x8108	87	40	47	174
0x8109	0	40	47	87
0x810A	8	6	2	16
0x810B	0	6	2	8
0x810C	0	6	2	8
0x8125	1	1	0	2
0x8126	0	1	0	1
0x8127	0	1	0	1
0x8128	0	1	0	1
0x8141	1	1	0	2
0x8142	0	1	0	1
0x8143	0	1	0	1
0x8144	0	1	0	1
0x8145	3	1	0	4
0x8146	0	1	0	1
0x8147	0	1	0	1
0x8148	0	1	0	1
0x8149	9	5	4	18
0x814A	1	5	4	10
0x814B	0	5	4	9
0x817C	3	3	1	7
0x817D	1	3	1	5
0x81BA	9	5	6	20
0x81BB	4	5	6	15
0x81BC	56	24	0	80
0x81BD	0	24	0	24
0x81BE	0	24	0	24
0x81BF	0	24	0	24
0x81C0	14	6	0	20
0x81C1	0	6	0	6
0x81C2	0	6	0	6
0x81C3	0	6	0	6
0x81D9	16	0	16	32
0x81DA	0	0	16	16
0x81F7	2	0	2	4
0x81F8	0	0	2	2
0x8639	7	5	0	12
0x863A	0	5	0	5
0x863B	0	5	0	5
0x863C	0	5	0	5
0x863D	2	2	0	4
0x863E	8	2	0	10
0x863F	0	2	0	2
0x8640	0	2	0	2
0x8641	0	2	0	2
0x8642	8	2	0	10
0x8643	0	2	0	2
0x8644	0	2	0	2
0x8645	0	2	0	2
0x8646	7	3	0	10
0x8647	0	3	0	3
0x8648	0	3	0	3
0x8649	0	3	0	3
0x8659	6	2	4	12
0x865A	0	2	4	6
0x865B	6	4	2	12
0x865C	0	4	2	6
0x865D	6	4	2	12
0x865E	0	4	2	6
0x865F	6	4	2	12
0x8660	0	4	2	6
0x8661	27	3	24	54
0x8662	0	1	0	1
0x866C	3	3	0	6
0x868F	2	2	0	4
0x89DF	2	1	1	4
0x89F4	3	0	0	3
0x89F7	8	0	7	15
0x89F8	0	0	7	7
0x89F9	0	0	7	7
0x89FA	6	0	1	7
0x89FB	0	0	1	1
0x8A1C	1	1	0	2
0x8A23	4	2	4	10
0x8A24	2	0	2	4
0x8A25	0	0	2	2
0x8A26	0	0	2	2
0x8A27	0	0	2	2
0x8A28	2	0	2	4
0x8A29	0	0	2	2
0x8A2A	6	4	2	12
0x8A2B	4	4	2	10
0x8A42	39	12	25	76
0x8A43	13	17	13	43
0x8A44	22	14	16	52
0x8A45	14	18	15	47
0x8A46	33	19	22	74
0x8A47	31	22	24	77
0x8A48	9	10	8	27
0x8A49	6	11	8	25
0x8A4A	59	50	15	124
0x8A4B	7	44	10	61
0x8A4C	11	43	8	62
0x8A4D	10	53	10	73
0x8A4E	14	7	2	23
0x8A4F	18	25	9	52
0x8A50	10	13	2	25
0x8A51	0	13	2	15
0x8A52	28	18	16	62
0x8A53	13	28	18	59
0x8A54	21	11	11	43
0x8A55	6	9	12	27
0x8A56	24	12	7	43
0x8A57	0	11	4	15
0x8A58	2	12	4	18
0x8A59	9	17	10	36
0x8A5A	18	11	8	37
0x8A5B	3	9	5	17
0x8A5C	3	7	3	13
0x8A5D	3	8	5	16
0x8A5E	12	8	6	26
0x8A5F	5	8	6	19
0x8A60	6	8	7	21
0x8A61	6	10	8	24
0x8A62	9	7	8	24
0x8A63	11	11	4	26
0x8A64	8	14	6	28
0x8A65	3	14	6	23
0x8A66	18	16	8	42
0x8A67	15	13	6	34
0x8A68	7	8	5	20
0x8A69	3	7	4	14
0x8A6A	40	42	9	91
0x8A6B	14	9	4	27
0x8A6C	14	17	5	36
0x8A6D	55	43	5	103
0x8A6E	12	42	8	62
0x8A6F	7	43	8	58
0x8A70	5	43	0	48
0x8A71	5	10	4	19
0x8A72	0	9	0	9
0x8A73	9	8	1	18
0x8A74	5	5	1	11
0x8A75	1	5	1	7
0x8A76	6	9	2	17
0x8A77	92	66	14	172
0x8A78	13	63	10	86
0x8A79	4	61	5	70
0x8A7A	6	61	1	68
0x8A7B	26	22	15	63
0x8A7C	86	70	17	173
0x8A7D	29	69	17	115
0x8A7E	16	56	21	93
0x8A7F	7	27	14	48
0x8A80	5	3	1	9
0x8A81	3	4	5	12
0x8A82	0	3	2	5
0x8A83	0	2	1	3
0x8A84	3	0	2	5
0x8A85	25	9	1	35
0x8A86	93	19	3	115
0x8A87	13	25	9	47
0x8A88	14	24	5	43
0x8A89	34	41	8	83
0x8A8A	32	48	7	87
0x8A8B	2	18	3	23
0x8A8C	6	15	2	23
0x8A8D	0	15	2	17
0x8A8E	19	10	2	31
0x8A8F	0	10	2	12
0x8A90	12	17	4	33
0x8A91	2	12	3	17
0x8A92	17	10	3	30
0x8A93	0	10	3	13
0x8A94	9	12	3	24
0x8A95	0	12	3	15
0x8A96	7	5	6	18
0x8A97	64	66	9	139
0x8A98	9	62	5	76
0x8A99	7	4	3	14
0x8A9A	1	6	3	10
0x8A9B	1	4	2	7
0x8A9C	3	5	1	9
0x8A9D	17	7	15	39
0x8A9E	121	12	129	262
0x8A9F	6	5	8	19
0x8AA0	38	39	42	119
0x8AA1	37	38	40	115
0x8AA7	9	7	4	20
0x8AA8	2	4	2	8
0x8AA9	3	4	2	9
0x8AAA	2	5	3	10
0x8AAB	10	3	9	22
0x8AAC	2	2	3	7
0x8AAD	4	3	3	10
0x8AAE	5	3	7	15
0x8AAF	4	3	0	7
0x8AB0	0	3	0	3
0x8AB1	0	3	0	3
0x8AB2	0	3	0	3
0x8AB3	3	1	0	4
0x8AB4	0	1	0	1
0x8AB5	0	1	0	1
0x8AB6	0	1	0	1
0x8AB7	30	9	0	39
0x8AB8	0	9	0	9
0x8AB9	0	9	0	9
0x8ABA	0	9	0	9
0x8ABB	18	8	2	28
0x8ABC	0	8	4	12
0x8ABD	4	8	0	12
0x8ABE	8	16	0	24
0x8ABF	0	2	0	2
0x8AC0	0	2	0	2
0x8AC1	16	4	0	20
0x8AC2	0	4	0	4
0x8AC3	0	4	0	4
0x8AC4	0	4	0	4
0x8AC5	24	16	8	48
0x8AC6	4	16	8	28
0x8AC7	12	20	8	40
0x8AC8	10	20	8	38
0x8AC9	6	18	10	34
0x8ACA	35	36	9	80
0x8ACB	12	34	7	53
0x8ACC	46	24	4	74
0x8ACD	0	20	0	20
0x8ACE	6	26	0	32
0x8ACF	0	26	0	26
0x8AD0	23	17	6	46
0x8AD1	5	17	7	29
0x8AD2	46	28	21	95
0x8AD3	8	28	20	56
0x8AD4	14	10	18	42
0x8AD5	6	10	18	34
0x8AD6	18	12	12	42
0x8AD7	12	12	12	36
0x8AD8	16	6	10	32
0x8AD9	6	6	10	22
0x8ADA	0	6	10	16
0x8ADC	6	4	4	14
0x8ADD	0	4	4	8
0x8ADE	11	3	10	24
0x8ADF	0	4	10	14
0x8AE2	10	6	4	20
0x8AE3	1	5	3	9
0x8AE4	0	3	1	4
0x8B23	1	0	0	1
0x8B2A	6	5	1	12
0x8B2B	2	4	1	7
0x8B2C	0	4	1	5
0x8B2D	5	3	2	10
0x8B2E	0	3	2	5
0x8B39	33	26	7	66
0x8B3A	3	26	7	36
0x8B3B	28	48	5	81
0x8B3C	98	46	64	208
0x8B3D	1	44	64	109
0x8B3E	12	8	68	88
0x8B3F	6	8	20	34
0x8B40	6	6	18	30
0x8B41	7	8	8	23
0x8B42	3	5	5	13
0x8B43	0	2	2	4
0x8E3C	1	0	0	1
0x9387	1	0	0	1
0x9FD3	1	0	0	1
0xB0F8	1	0	0	1
0xB2B0	1	0	0	1
0xB311	1	0	0	1
0xB59A	1	0	0	1
0xCA15	1	0	0	1
0xCDD7	1	0	0	1
0xE7E2	1	0	0	1
0xE839	1	0	0	1
0xE917	1	0	0	1
0xEA24	1	0	0	1
0xED82	1	0	0	1
0xEF5C	1	0	0	1
0xEFDF	1	0	0	1
0xEFFE	1	0	0	1
0xF011	1	0	0	1
0xF02E	1	0	0	1
0xF062	1	0	0	1
0xF088	1	0	0	1
0xF159	1	0	0	1
0xF1E8	1	0	0	1
0xF267	1	0	0	1
0xF311	1	0	0	1
0xF425	1	0	0	1
0xFFFF	19	0	0	19
